year,loc_x,loc_y,estm_count
4,-78.4856,38.0374,6
5,-78.4856,38.0374,13
6,-78.4856,38.0374,4
7,-78.4856,38.0374,4
0,-80.1395,37.4293,29
1,-80.1395,37.4293,3
2,-80.1395,37.4293,0
3,-80.1395,37.4293,3
4,-80.1395,37.4293,2
5,-80.1395,37.4293,2
6,-80.1395,37.4293,5
7,-80.1395,37.4293,10
0,-79.9795,37.8865,31
1,-79.9795,37.8865,34
2,-79.9795,37.8865,35
3,-79.9795,37.8865,34
4,-79.9795,37.8865,53
5,-79.9795,37.8865,40
6,-79.9795,37.8865,55
7,-79.9795,37.8865,68
0,-76.4402,37.2801,51
1,-76.4402,37.2801,17
2,-76.4402,37.2801,13
3,-76.4402,37.2801,33
4,-76.4402,37.2801,20
5,-76.4402,37.2801,32
6,-76.4402,37.2801,40
7,-76.4402,37.2801,54
0,-76.259,36.8945,168
1,-76.259,36.8945,31
2,-76.259,36.8945,25
3,-76.259,36.8945,230
4,-76.259,36.8945,13
5,-76.259,36.8945,23
6,-76.259,36.8945,51
7,-76.259,36.8945,73
0,-76.6847,36.5882,118
1,-76.6847,36.5882,17
2,-76.6847,36.5882,2
3,-76.6847,36.5882,53
4,-76.6847,36.5882,26
5,-76.6847,36.5882,-7
6,-76.6847,36.5882,42
7,-76.6847,36.5882,61
0,-77.9823,39.1508,23
1,-77.9823,39.1508,7
2,-77.9823,39.1508,5
3,-77.9823,39.1508,8
4,-77.9823,39.1508,18
5,-77.9823,39.1508,32
6,-77.9823,39.1508,31
7,-77.9823,39.1508,13
0,-77.3914,37.2042,65
1,-77.3914,37.2042,10
2,-77.3914,37.2042,-1
3,-77.3914,37.2042,20
4,-77.3914,37.2042,9
5,-77.3914,37.2042,24
6,-77.3914,37.2042,9
7,-77.3914,37.2042,5
0,-76.9665,37.2273,2
1,-76.9665,37.2273,1
2,-76.9665,37.2273,6
3,-76.9665,37.2273,2
4,-76.9665,37.2273,1
5,-76.9665,37.2273,1
6,-76.9665,37.2273,0
7,-76.9665,37.2273,4
0,-77.1878,38.8648,7
1,-77.1878,38.8648,1
2,-77.1878,38.8648,0
3,-77.1878,38.8648,5
4,-77.1878,38.8648,-1
5,-77.1878,38.8648,0
6,-77.1878,38.8648,2
7,-77.1878,38.8648,0
0,-78.2322,38.6562,40
1,-78.2322,38.6562,28
2,-78.2322,38.6562,6
3,-78.2322,38.6562,5
4,-78.2322,38.6562,6
